go: downloading github.com/prometheus/client_golang v1.23.2
go: downloading github.com/prometheus/client_model v0.6.2
go: downloading github.com/stretchr/testify v1.11.1
go: downloading google.golang.org/protobuf v1.36.8
go: downloading github.com/davecgh/go-spew v1.1.1
go: downloading github.com/pmezard/go-difflib v1.0.0
go: downloading gopkg.in/yaml.v3 v3.0.1
go: downloading github.com/prometheus/common v0.66.1
go: downloading github.com/beorn7/perks v1.0.1
go: downloading github.com/cespare/xxhash/v2 v2.3.0
go: downloading github.com/prometheus/procfs v0.16.1
go: downloading github.com/munnerz/goautoneg v0.0.0-20191010083416-a7dc8b61c822
go: downloading go.yaml.in/yaml/v2 v2.4.2
go: downloading golang.org/x/sys v0.35.0
goos: linux
goarch: arm64
pkg: github.com/cockroachdb/goodhistogram
BenchmarkMinMaxContention/g=50/order=descending/record-minmax-8     	13784160	        94.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-minmax-8     	13730238	        85.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-minmax-8     	14029747	        91.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-minmax-8     	10922265	       101.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-minmax-8     	11025698	        95.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-padded-8     	18884462	        98.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-padded-8     	19536105	        85.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-padded-8     	18450204	        88.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-padded-8     	19007260	        84.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-padded-8     	19436941	        84.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-padded-8     	18679945	        89.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-padded-8     	19532145	        87.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-padded-8     	19270262	        88.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-8               	21761232	        96.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-8               	21116926	        97.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-8               	19221408	       103.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-8               	16666706	       103.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-8               	21489573	        95.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-8               	19029020	       105.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-8               	20765031	        97.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-8               	20570764	       104.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-minmax-8        	12264748	        96.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-minmax-8        	12461361	       101.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-minmax-8        	12017359	        85.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-minmax-8        	14563880	        97.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-minmax-8        	12547420	        94.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-minmax-8        	12296233	       106.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-minmax-8        	11481475	        96.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-minmax-8        	12553821	       106.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-padded-8        	17468978	       107.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-padded-8        	18246391	        97.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-padded-8        	19578447	       105.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-padded-8        	20573355	       101.9 ns/op	       0 B/op	       0 allocs/op
